# Time-averaged data for fix st
# TimeStep v_st
63450 -73.9654
63500 -30.7359
63550 -135.246
63600 57.204
63650 17.1658
63700 -34.8627
63750 101.111
63800 6.66259
63850 132.039
63900 229.267
63950 -24.6728
64000 63.0972
64050 72.9281
64100 170.97
64150 4.74384
64200 72.895
64250 16.819
64300 60.2775
64350 -105.932
64400 -307.717
64450 -52.083
64500 171.945
64550 84.3405
64600 -49.0004
64650 -235.806
64700 10.5812
64750 256.112
64800 31.8168
64850 26.1331
64900 -23.0236
64950 -82.3077
65000 -33.3413
65050 -35.5342
65100 -124.578
65150 -106.42
65200 133.046
65250 205.767
65300 112.491
65350 10.5084
65400 -139.224
65450 45.4245
65500 16.1672
65550 69.3372
65600 203.483
65650 184.544
65700 -3.27163
65750 99.776
65800 137.023
65850 170.422
65900 -34.1524
65950 18.5205
66000 -31.1445
66050 176.347
66100 89.8298
66150 23.6883
66200 172.617
66250 70.7787
66300 -192.075
66350 -189.004
66400 46.1917
66450 263.225
66500 138.152
66550 -33.7204
66600 -77.8523
66650 125.613
66700 75.9247
66750 135.195
66800 184.602
66850 -31.8331
66900 -62.272
66950 122.535
67000 60.5712
67050 31.4282
67100 275.678
67150 161.452
67200 16.0934
67250 230.318
67300 171.331
67350 172.081
67400 112.257
67450 213.691
67500 77.4276
67550 -92.1551
67600 31.6192
67650 55.7143
67700 -20.7511
67750 -56.216
67800 -23.0397
67850 -8.49238
67900 96.5442
67950 125.145
68000 229.809
68050 -120.966
68100 -178.607
68150 -69.2595
68200 -36.9419
68250 44.3122
68300 237.88
68350 20.3444
68400 -35.3179
68450 -113.693
68500 27.9738
68550 276.91
68600 156.859
68650 -4.93626
68700 8.35351
68750 269.849
68800 135.286
68850 255.891
68900 -199.019
68950 59.698
69000 38.9551
69050 157.977
69100 289.314
69150 233.863
69200 -97.9159
69250 -58.4676
69300 103.781
69350 209.969
69400 101.023
69450 -48.9942
69500 -95.3527
69550 16.6981
69600 206.17
69650 177.104
69700 186.501
69750 68.1106
69800 -101.536
69850 -223.909
69900 -21.3475
69950 -53.2127
70000 -51.3403
70050 88.9305
70100 -60.3288
70150 62.5456
70200 -104.885
70250 137.795
70300 -154.869
70350 -122.995
70400 -139.667
70450 83.2072
70500 31.0835
70550 220.142
70600 74.1915
70650 -26.3101
70700 54.6383
70750 137.229
70800 213.854
70850 2.49879
70900 49.9871
70950 35.9851
71000 165.284
71050 285.677
71100 140.446
71150 -75.6517
71200 17.3005
71250 200.294
71300 253.385
71350 106.748
71400 -140.72
71450 138.18
71500 105.123
71550 30.1629
71600 70.4775
71650 42.4666
71700 -114.638
71750 72.6194
71800 101.545
71850 94.8902
71900 158.541
71950 82.3819
72000 117.737
72050 -104.526
72100 -69.834
72150 -21.7979
72200 34.5294
72250 175.24
72300 44.2477
72350 -32.0221
72400 -304.965
72450 -240.073
72500 -78.9982
72550 237.935
72600 219.801
72650 241.053
72700 -43.0993
72750 202.154
72800 174.584
72850 58.8255
72900 90.853
72950 275.516
73000 63.0334
73050 -9.24946
73100 34.0227
73150 184.876
73200 111.532
73250 -77.1975
73300 61.8058
73350 -32.6105
73400 -72.4554
73450 84.025
73500 111.66
73550 48.4158
73600 178.175
73650 -56.6211
73700 166.595
73750 256.557
73800 246.509
73850 79.9407
73900 82.5688
73950 -74.4922
74000 -78.0716
74050 28.255
74100 125.116
74150 275.168
74200 -7.1636
74250 -76.5609
74300 172.151
74350 162.104
74400 -37.6453
74450 -19.2872
74500 -8.95122
74550 40.1766
74600 72.589
74650 139.342
74700 4.89262
74750 33.5506
74800 22.4426
74850 -50.9435
74900 -62.956
74950 47.62
75000 338.542
75050 372.437
75100 144.54
75150 -121.815
75200 34.3214
75250 111.526
75300 203.459
75350 24.0104
75400 103.41
75450 42.4437
75500 162.965
75550 449.962
75600 186.318
75650 10.383
75700 44.9614
75750 101.899
75800 145.608
75850 284.191
75900 275.465
75950 317.927
76000 122.306
76050 78.1005
76100 223.045
76150 40.3229
76200 -207.622
76250 96.1004
76300 142.332
76350 131.242
76400 -47.9029
76450 -49.4813
76500 11.1954
76550 35.6086
76600 -2.69065
76650 -71.4426
76700 24.4534
76750 26.8529
76800 78.9035
76850 -134.035
76900 80.5584
76950 307.015
77000 231.612
77050 -78.3501
77100 -109.791
77150 50.7273
77200 3.07366
77250 -9.29046
77300 78.0266
77350 173.093
77400 23.851
77450 172.322
77500 -94.8638
77550 -58.8459
77600 -284.227
77650 -31.7126
77700 203.189
77750 146.265
77800 103.849
77850 -2.96411
77900 276.045
77950 247.347
78000 305.962
78050 354.848
78100 361.079
78150 278.122
78200 236.227
78250 314.22
78300 275.846
78350 136.332
78400 -29.7239
78450 121.247
78500 331.92
78550 41.0875
78600 187.236
78650 -9.66373
78700 46.763
78750 -39.0058
78800 78.3208
78850 203.256
78900 265.767
78950 180.16
79000 171.607
79050 4.76584
79100 64.9277
79150 145.459
79200 285.998
79250 207.729
79300 49.5793
79350 263.945
79400 246.034
79450 14.2342
79500 -100.888
79550 195.868
79600 245.482
79650 314.195
79700 181.456
79750 21.3156
79800 -48.0306
79850 106.184
79900 170.566
79950 301.834
80000 175.54
80050 43.3361
80100 -105.109
80150 -92.1792
80200 -49.2949
80250 -23.5563
80300 -166.84
80350 -40.2574
80400 30.4149
80450 -149.651
80500 -117.179
80550 135.504
80600 251.238
80650 -17.3931
80700 -64.8032
80750 217.299
80800 288.164
80850 35.245
80900 89.5577
80950 120.473
81000 147.737
81050 91.24
81100 211.342
81150 162.699
81200 45.4585
81250 162.132
81300 -62.6112
81350 -209.373
81400 -122.808
81450 221.566
81500 169.509
81550 34.3012
81600 -52.7286
81650 -190.024
81700 -49.3058
81750 -83.854
81800 77.4679
81850 114.172
81900 217.978
81950 99.7367
82000 -72.8554
82050 157.432
82100 321.567
82150 145.564
82200 -69.2719
82250 198.722
82300 48.9722
82350 186.278
82400 -25.4239
82450 -144.643
82500 -130.937
82550 139.841
82600 185.995
82650 267.246
82700 18.1778
82750 71.0811
82800 56.0277
82850 203.991
82900 -115.205
82950 7.864
83000 158.01
83050 129.184
83100 79.2769
83150 -140.218
83200 -123.025
83250 182.031
83300 208.128
83350 -51.8614
83400 133.252
83450 126.285
83500 13.9284
83550 12.9699
83600 181.828
83650 -36.5151
83700 184.175
83750 58.1746
83800 -76.3412
83850 19.9311
83900 81.8025
83950 -131.196
84000 9.25986
84050 -6.35905
84100 212.745
84150 109.189
84200 265.711
84250 263.586
84300 107.447
84350 184.786
84400 147.697
84450 29.3836
84500 53.1935
84550 262.206
84600 264.762
84650 124.966
84700 130.961
84750 175.925
84800 181.955
84850 221.573
84900 109.876
84950 4.34822
85000 -99.848
85050 -67.7302
85100 -70.8725
85150 12.9876
85200 174.855
85250 -33.3599
85300 66.4346
85350 152.953
85400 143.815
85450 63.6834
85500 211.988
85550 29.9601
85600 173.5
85650 236.042
85700 88.4275
85750 30.0617
85800 183.171
85850 6.35606
85900 186.206
85950 160.985
86000 -52.8329
86050 105.696
86100 51.6553
86150 136.562
86200 50.2882
86250 80.1786
86300 210.74
86350 174.621
86400 308.394
86450 87.3627
86500 -124.529
86550 38.918
86600 -13.2624
86650 32.2045
86700 80.4247
86750 -15.9009
86800 -24.5315
86850 124.192
86900 -98.9952
86950 37.5868
87000 106.175
87050 223.681
87100 79.0674
87150 44.714
87200 122.031
87250 149.738
87300 99.2925
87350 -19.6271
87400 -64.4808
87450 234.05
87500 283.932
87550 273.119
87600 242.152
87650 -117.419
87700 -20.2438
87750 181.919
87800 -74.5301
87850 130.129
87900 305.45
87950 118.274
88000 34.0163
88050 -12.1753
88100 -86.1063
88150 253.942
88200 368.346
88250 123.34
88300 81.3148
88350 157.643
88400 288.585
88450 244.669
88500 -31.3448
88550 67.4091
88600 181.389
88650 234.921
88700 174.403
88750 59.0561
88800 -134.709
88850 124.09
88900 94.383
88950 39.9286
89000 -117.178
