# Time-averaged data for fix strunning
# TimeStep v_st
48450 83.6167
48500 83.7694
48550 83.6713
48600 83.6045
48650 83.4847
48700 83.5654
48750 83.5079
48800 83.5535
48850 83.4555
48900 83.3181
48950 83.1439
49000 83.2216
49050 83.1381
49100 83.082
49150 82.9137
49200 82.8562
49250 82.8374
49300 82.8631
49350 82.8286
49400 82.7295
49450 82.553
49500 82.4167
49550 82.3452
49600 82.234
49650 82.313
49700 82.1307
49750 82.0805
49800 82.2323
49850 82.1171
49900 82.0935
49950 82.0792
50000 82.3538
50050 82.5515
50100 82.6788
50150 82.5062
50200 82.3483
50250 82.3257
50300 82.2438
50350 82.3958
50400 82.3502
50450 82.0842
50500 81.7097
50550 81.5032
50600 81.5128
50650 81.6176
50700 81.5256
50750 81.5177
50800 81.2016
50850 80.9821
50900 80.9194
50950 80.7541
51000 80.5695
51050 80.3759
51100 80.4193
51150 80.3771
51200 80.2411
51250 79.9934
51300 79.7476
51350 79.7116
51400 79.7196
51450 79.674
51500 79.6036
51550 79.4387
51600 79.3193
51650 79.2066
51700 79.0691
51750 79.0549
51800 79.0884
51850 79.0662
51900 79.0033
51950 78.8496
52000 78.8229
52050 78.7232
52100 78.535
52150 78.3548
52200 78.2401
52250 78.2511
52300 78.1441
52350 78.0596
52400 77.9028
52450 77.7993
52500 77.8822
52550 77.905
52600 77.9077
52650 77.9187
52700 77.8995
52750 77.8104
52800 77.614
52850 77.4721
52900 77.4013
52950 77.4149
53000 77.601
53050 77.6893
53100 77.8349
53150 77.8246
53200 77.7846
53250 77.58
53300 77.4239
53350 77.4137
53400 77.2316
53450 77.1187
53500 77.2442
53550 77.2448
53600 77.1788
53650 76.9958
53700 76.8215
53750 76.875
53800 77.0206
53850 77.0783
53900 76.9739
53950 76.6746
54000 76.5281
54050 76.4625
54100 76.4228
54150 76.5846
54200 76.5742
54250 76.4806
54300 76.3734
54350 76.2684
54400 76.2062
54450 76.118
54500 76.1478
54550 76.0594
54600 76.03
54650 76.1467
54700 76.0313
54750 76.032
54800 76.2381
54850 76.3928
54900 76.5411
54950 76.4078
55000 76.3458
55050 76.2937
55100 76.2879
55150 76.4986
55200 76.621
55250 76.5079
55300 76.2754
55350 76.1888
55400 76.113
55450 75.9461
55500 75.7742
55550 75.5295
55600 75.4388
55650 75.5995
55700 75.7256
55750 75.5424
55800 75.2989
55850 75.1226
55900 75.0397
55950 74.8908
56000 74.5754
56050 74.4606
56100 74.6137
56150 74.7298
56200 74.5619
56250 74.4744
56300 74.349
56350 74.2717
56400 74.1712
56450 74.3488
56500 74.4268
56550 74.4982
56600 74.6359
56650 74.497
56700 74.4991
56750 74.5129
56800 74.5802
56850 74.7118
56900 74.6322
56950 74.5972
57000 74.6248
57050 74.6088
57100 74.5974
57150 74.614
57200 74.4766
57250 74.2088
57300 74.1614
57350 74.2627
57400 74.27
57450 74.2527
57500 74.264
57550 74.3146
57600 74.1949
57650 74.0661
57700 74.0855
57750 74.1879
57800 74.3025
57850 74.1966
57900 74.1669
57950 74.1388
58000 74.2025
58050 74.125
58100 73.9823
58150 73.9381
58200 73.7988
58250 73.8695
58300 73.7867
58350 73.7059
58400 73.7428
58450 73.7572
58500 73.8455
58550 73.8109
58600 73.5879
58650 73.4982
58700 73.483
58750 73.4176
58800 73.2771
58850 73.2019
58900 73.1847
58950 73.1656
59000 73.0913
59050 73.0279
59100 73.195
59150 73.1845
59200 73.0894
59250 72.956
59300 72.882
59350 72.9057
59400 72.7275
59450 72.7732
59500 72.7711
59550 72.7802
59600 72.9607
59650 73.1036
59700 73.0497
59750 72.9278
59800 72.8369
59850 72.9205
59900 72.9226
59950 72.889
60000 72.7671
60050 72.7065
60100 72.7822
60150 72.7539
60200 72.8227
60250 72.7999
60300 72.6961
60350 72.6051
60400 72.614
60450 72.6046
60500 72.6872
60550 72.5756
60600 72.4469
60650 72.5026
60700 72.4865
60750 72.3861
60800 72.403
60850 72.3231
60900 72.4233
60950 72.5286
61000 72.4298
61050 72.3945
61100 72.2975
61150 72.1549
61200 72.2254
61250 72.3683
61300 72.3312
61350 72.0962
61400 71.843
61450 71.772
61500 71.7037
61550 71.6662
61600 71.5889
61650 71.5334
61700 71.6058
61750 71.5914
61800 71.558
61850 71.406
61900 71.2507
61950 71.2717
62000 71.3853
62050 71.4419
62100 71.3745
62150 71.332
62200 71.271
62250 71.2754
62300 71.3546
62350 71.1824
62400 70.9732
62450 70.8822
62500 70.698
62550 70.6131
62600 70.7947
62650 70.7851
62700 70.8566
62750 70.8012
62800 70.7227
62850 70.673
62900 70.7716
62950 70.6662
63000 70.5781
63050 70.5889
63100 70.5735
63150 70.5109
63200 70.3843
63250 70.1633
63300 70.0457
63350 69.9908
63400 69.9522
63450 69.8656
63500 69.7891
63550 69.6295
63600 69.6427
63650 69.6083
63700 69.5385
63750 69.5774
63800 69.561
63850 69.6048
63900 69.7298
63950 69.6601
64000 69.661
64050 69.6593
64100 69.7473
64150 69.7086
64200 69.7024
64250 69.6851
64300 69.6812
64350 69.5525
64400 69.2814
64450 69.1564
64500 69.2339
64550 69.2888
64600 69.2106
64650 68.9621
64700 68.8885
64750 69.0234
64800 69.0282
64850 69.0023
64900 68.9621
64950 68.8238
65000 68.7345
65050 68.6546
65100 68.5196
65150 68.3868
65200 68.4066
65250 68.5081
65300 68.5133
65350 68.4847
65400 68.3042
65450 68.2685
65500 68.2234
65550 68.2319
65600 68.2864
65650 68.394
65700 68.3509
65750 68.3837
65800 68.4483
65850 68.5068
65900 68.4523
65950 68.4529
66000 68.3739
66050 68.4464
66100 68.4606
66150 68.433
66200 68.5079
66250 68.5092
66300 68.3551
66350 68.1488
66400 68.1347
66450 68.2546
66500 68.3268
66550 68.253
66600 68.1386
66650 68.1903
66700 68.2001
66750 68.2635
66800 68.344
66850 68.3121
66900 68.1992
66950 68.2636
67000 68.2619
67050 68.2205
67100 68.3909
67150 68.4552
67200 68.4296
67250 68.5493
67300 68.6423
67350 68.722
67400 68.7516
67450 68.8437
67500 68.8403
67550 68.716
67600 68.6731
67650 68.6812
67700 68.6651
67750 68.5625
67800 68.5007
67850 68.4285
67900 68.4404
67950 68.4764
68000 68.5852
68050 68.4619
68100 68.2564
68150 68.1445
68200 68.0541
68250 68.0265
68300 68.1439
68350 68.1343
68400 68.0631
68450 67.9219
68500 67.8784
68550 68.0323
68600 68.1294
68650 68.1054
68700 68.0852
68750 68.2208
68800 68.2777
68850 68.411
68900 68.2344
68950 68.2131
69000 68.2175
69050 68.271
69100 68.4248
69150 68.5411
69200 68.4358
69250 68.349
69300 68.3786
69350 68.4877
69400 68.5232
69450 68.4545
69500 68.3396
69550 68.318
69600 68.4143
69650 68.5147
69700 68.5873
69750 68.6136
69800 68.5056
69850 68.2901
69900 68.2101
69950 68.1427
70000 68.074
70050 68.0788
70100 67.9744
70150 67.9515
70200 67.8407
70250 67.8955
70300 67.7456
70350 67.6025
70400 67.46
70450 67.4521
70500 67.4142
70550 67.5405
70600 67.5566
70650 67.4696
70700 67.4583
70750 67.5004
70800 67.5932
70850 67.5659
70900 67.5565
70950 67.5421
71000 67.609
71050 67.7465
71100 67.8094
71150 67.7247
71200 67.6949
71250 67.7646
71300 67.9114
71350 67.9868
71400 67.854
71450 67.8809
71500 67.9114
71550 67.8791
71600 67.8694
71650 67.8643
71700 67.7454
71750 67.7257
71800 67.7193
71850 67.7382
71900 67.768
71950 67.7639
72000 67.7996
72050 67.7101
72100 67.613
72150 67.5514
72200 67.5224
72250 67.5686
72300 67.5539
72350 67.4915
72400 67.2469
72450 67.033
72500 66.9107
72550 67.0099
72600 67.119
72650 67.238
72700 67.1788
72750 67.2469
72800 67.2997
72850 67.2757
72900 67.2939
72950 67.4359
73000 67.4543
73050 67.4212
73100 67.3797
73150 67.4529
73200 67.4935
73250 67.4227
73300 67.3839
73350 67.3286
73400 67.2299
73450 67.2339
73500 67.2521
73550 67.2111
73600 67.274
73650 67.2036
73700 67.2569
73750 67.3634
73800 67.4841
73850 67.4819
73900 67.5088
73950 67.4081
74000 67.3182
74050 67.2913
74100 67.3318
74150 67.4754
74200 67.4333
74250 67.3216
74300 67.398
74350 67.4696
74400 67.421
74450 67.3446
74500 67.3138
74550 67.2795
74600 67.2946
74650 67.3288
74700 67.306
74750 67.2727
74800 67.2512
74850 67.162
74900 67.0859
74950 67.0539
75000 67.2116
75050 67.4197
75100 67.4738
75150 67.3634
75200 67.334
75250 67.3638
75300 67.447
75350 67.4521
75400 67.454
75450 67.4482
75500 67.513
75550 67.7692
75600 67.8583
75650 67.8469
75700 67.8234
75750 67.8301
75800 67.874
75850 67.9912
75900 68.12
75950 68.2993
76000 68.3375
76050 68.3458
76100 68.4514
76150 68.439
76200 68.2425
76250 68.2574
76300 68.2986
76350 68.3472
76400 68.2875
76450 68.217
76500 68.1788
76550 68.1572
76600 68.1137
76650 68.0105
76700 67.9883
76750 67.9577
76800 67.9535
76850 67.8324
76900 67.8134
76950 67.9608
77000 68.0869
77050 67.9914
77100 67.8633
77150 67.8728
77200 67.844
77250 67.7797
77300 67.7987
77350 67.8532
77400 67.8424
77450 67.916
77500 67.805
77550 67.7243
77600 67.4849
77650 67.4102
77700 67.4725
77750 67.5442
77800 67.5732
77850 67.53
77900 67.6468
77950 67.7717
78000 67.9199
78050 68.1057
78100 68.3047
78150 68.441
78200 68.5484
78250 68.6923
78300 68.8223
78350 68.8776
78400 68.8433
78450 68.8665
78500 69.0336
78550 69.0189
78600 69.0973
78650 69.0539
78700 69.054
78750 68.9867
78800 69.0118
78850 69.0768
78900 69.214
78950 69.2681
79000 69.3073
79050 69.2861
79100 69.2601
79150 69.2975
79200 69.4256
79250 69.521
79300 69.4904
79350 69.6001
79400 69.7036
79450 69.6769
79500 69.5547
79550 69.6377
79600 69.7363
79650 69.9083
79700 69.9793
79750 69.9539
79800 69.9016
79850 69.9101
