# Chunk-averaged data for fix stress and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount c_stpa[1] c_stpa[2] c_stpa[3] c_stpa[4] c_stpa[5] c_stpa[6]
5000 150 647.9999999999999
  4 -35.75 0 0 0 0 0 0 0
  5 -35.25 0 0 0 0 0 0 0
  6 -34.75 0 0 0 0 0 0 0
  7 -34.25 0 0 0 0 0 0 0
  8 -33.75 0 0 0 0 0 0 0
  9 -33.25 0 0 0 0 0 0 0
  10 -32.75 0 0 0 0 0 0 0
  11 -32.25 0 0 0 0 0 0 0
  12 -31.75 0 0 0 0 0 0 0
  13 -31.25 0 0 0 0 0 0 0
  14 -30.75 0 0 0 0 0 0 0
  15 -30.25 0 0 0 0 0 0 0
  16 -29.75 0 0 0 0 0 0 0
  17 -29.25 0 0 0 0 0 0 0
  18 -28.75 0 0 0 0 0 0 0
  19 -28.25 0 0 0 0 0 0 0
  20 -27.75 0 0 0 0 0 0 0
  21 -27.25 0 0 0 0 0 0 0
  22 -26.75 0 0 0 0 0 0 0
  23 -26.25 0 0 0 0 0 0 0
  24 -25.75 0 0 0 0 0 0 0
  25 -25.25 0 0 0 0 0 0 0
  26 -24.75 0 0 0 0 0 0 0
  27 -24.25 0 0 0 0 0 0 0
  28 -23.75 0 0 0 0 0 0 0
  29 -23.25 0 0 0 0 0 0 0
  30 -22.75 0 0 0 0 0 0 0
  31 -22.25 0 0 0 0 0 0 0
  32 -21.75 0 0 0 0 0 0 0
  33 -21.25 0 0 0 0 0 0 0
  34 -20.75 0 0 0 0 0 0 0
  35 -20.25 0 0 0 0 0 0 0
  36 -19.75 0 0 0 0 0 0 0
  37 -19.25 0 0 0 0 0 0 0
  38 -18.75 0 0 0 0 0 0 0
  39 -18.25 0 0 0 0 0 0 0
  40 -17.75 0 0 0 0 0 0 0
  41 -17.25 0 0 0 0 0 0 0
  42 -16.75 0 0 0 0 0 0 0
  43 -16.25 0 0 0 0 0 0 0
  44 -15.75 0 0 0 0 0 0 0
  45 -15.25 0 0 0 0 0 0 0
  46 -14.75 0 0 0 0 0 0 0
  47 -14.25 0 0 0 0 0 0 0
  48 -13.75 0 0 0 0 0 0 0
  49 -13.25 0 0 0 0 0 0 0
  50 -12.75 0 0 0 0 0 0 0
  51 -12.25 0 0 0 0 0 0 0
  52 -11.75 0 0 0 0 0 0 0
  53 -11.25 0 0 0 0 0 0 0
  54 -10.75 0 0 0 0 0 0 0
  55 -10.25 0 0 0 0 0 0 0
  56 -9.75 0 0 0 0 0 0 0
  57 -9.25 0 0 0 0 0 0 0
  58 -8.75 0 0 0 0 0 0 0
  59 -8.25 0 0 0 0 0 0 0
  60 -7.75 0 0 0 0 0 0 0
  61 -7.25 0 0 0 0 0 0 0
  62 -6.75 0 0 0 0 0 0 0
  63 -6.25 0 0 0 0 0 0 0
  64 -5.75 0 0 0 0 0 0 0
  65 -5.25 0 0 0 0 0 0 0
  66 -4.75 0 0 0 0 0 0 0
  67 -4.25 0 0 0 0 0 0 0
  68 -3.75 0 0 0 0 0 0 0
  69 -3.25 0 0 0 0 0 0 0
  70 -2.75 0.68 170880 235761 -43543.6 179723 127636 148251
  71 -2.25 2.28 -15476.3 186271 54742.4 81315.1 73375.2 115079
  72 -1.75 4.04 -2998.31 -40853.3 -135474 -21205.1 -27234.8 7700.29
  73 -1.25 5.96 56505.9 89593.9 -149457 -18165.5 72276.1 7722.47
  74 -0.75 6.72 4572.11 11252 68767.2 -56786.1 14971.1 88113.8
  75 -0.25 7.8 22966.1 11135 17618.6 5925.1 -69593.7 16996.3
  76 0.25 8.68 120875 -30801.5 55331.2 44423 -19278.7 89704.4
  77 0.75 14.88 -14815.2 -17210.3 5386.81 -11920.3 14118.9 2545.49
  78 1.25 18.96 33650.5 -8965.52 -22274.7 -42705.9 -26678.9 -54006.3
  79 1.75 19.36 44188.3 32888.5 -49695.8 -7023.82 26843.8 54347
  80 2.25 19.52 7484.39 4948.28 58339.9 -20051.3 -492.35 -31130.6
  81 2.75 13.92 2849.54 -56071.2 -14215.6 2772.26 1982.5 -7167.81
  82 3.25 11.92 -33933.5 -38793.9 36286.5 46661.1 -37767.8 35463.5
  83 3.75 13.48 9587.25 38894.5 79519.5 5789.4 -106837 -20316.3
  84 4.25 14.64 139343 93168.8 47450.6 66729 -42837.6 -1465.26
  85 4.75 16.32 -111157 -89174.7 -71070.8 -4381.03 17590.5 -12680.6
  86 5.25 21 10905 83435.8 -72093.9 -26660 3131.44 -25025.6
  87 5.75 21.4 10220.3 18238.7 27284.9 -9878.39 51567.7 36691.5
  88 6.25 14.52 7027.12 -85973.6 -2570.1 5700.61 -14169 37439.4
  89 6.75 16.12 6442.25 -68977 69408.8 -25346 13398.7 -20682.8
  90 7.25 17.2 41748.1 36708 84358.5 -5087.81 57028.7 -52108.6
  91 7.75 15.92 -40539.2 131968 -44887.2 -49303.8 48569.9 -58931.7
  92 8.25 17.56 -34474.3 -43787.9 -38738.4 14944.4 37106.9 15354.4
  93 8.75 17.56 -17784.5 -15822 -19375.7 -45769.3 -5912.57 -31043.5
  94 9.25 19.56 66511.8 -999.367 -39569.2 -16495.1 -16286.6 53502.2
  95 9.75 17.72 6211.97 -41092.8 12875.4 -17592.4 -77372.4 34267.5
  96 10.25 17.96 -70363.8 21682.7 18178.1 10894.6 41725.4 38649.4
  97 10.75 18.72 64183.1 69300.1 48364.9 9038.38 -18316.2 -42687.3
  98 11.25 16.72 -63694.3 -12999.4 26401.3 55856.8 -23656.5 -9505.35
  99 11.75 17.24 -105372 -74788.9 -62119.8 6815.08 18532.5 -15357.5
  100 12.25 14.08 -18449.7 90612.5 48263.2 -15669.1 -31108.7 -40258.8
  101 12.75 15.72 3693.41 101310 55487.6 2064.07 -42468.3 21101
  102 13.25 16.48 -100033 -84353.5 -71542 -20990.6 6917.46 -22980.4
  103 13.75 18.72 107803 41132.2 -86068.6 -7684.47 25915.1 18548.4
  104 14.25 18.44 -92553.2 45164.9 -110572 21204.8 -27947.5 6005.56
  105 14.75 15.84 42491.9 -17985.8 54217.6 11815.7 -17576.8 -43076.1
  106 15.25 14.36 9798.57 23789.5 113244 12417.3 -47487.3 10934.4
  107 15.75 17.04 51546.2 6588.01 42058.2 -21286.4 -6500.9 -497.33
  108 16.25 18.56 -32241.7 16156.7 -15524.9 888.869 32066.4 -24745.8
  109 16.75 19.12 -10953.7 -16287.6 -6624.31 -11525.1 57312.7 24966.5
  110 17.25 16.52 27687.9 40741.6 23170.3 -1623.96 34930.7 -20698.7
  111 17.75 12.92 42132.3 13020 -8480.34 -27859.7 -15607.8 38813.9
  112 18.25 10.48 -1524.18 -22498.6 -42433.2 -3489.31 54344.9 1733.06
  113 18.75 6.28 203752 82482.9 -48832.8 56770 -23615.9 63169.3
  114 19.25 2.64 -27132.8 121444 -86778.6 23599.4 50453.6 45747
  115 19.75 1.68 2752.3 -67106.5 -96401.6 -39487 2731.71 -57858.1
  116 20.25 0.52 29386.2 174079 -61594.5 79607 109958 46680.8
  117 20.75 0.24 239746 132961 -114892 69247.6 52104.9 64105.9
  118 21.25 0 0 0 0 0 0 0
  119 21.75 0 0 0 0 0 0 0
  120 22.25 0 0 0 0 0 0 0
  121 22.75 0 0 0 0 0 0 0
  122 23.25 0 0 0 0 0 0 0
  123 23.75 0 0 0 0 0 0 0
  124 24.25 0 0 0 0 0 0 0
  125 24.75 0 0 0 0 0 0 0
  126 25.25 0 0 0 0 0 0 0
  127 25.75 0 0 0 0 0 0 0
  128 26.25 0 0 0 0 0 0 0
  129 26.75 0 0 0 0 0 0 0
  130 27.25 0 0 0 0 0 0 0
  131 27.75 0 0 0 0 0 0 0
  132 28.25 0 0 0 0 0 0 0
  133 28.75 0 0 0 0 0 0 0
  134 29.25 0 0 0 0 0 0 0
  135 29.75 0 0 0 0 0 0 0
  136 30.25 0 0 0 0 0 0 0
  137 30.75 0 0 0 0 0 0 0
  138 31.25 0 0 0 0 0 0 0
  139 31.75 0 0 0 0 0 0 0
  140 32.25 0 0 0 0 0 0 0
  141 32.75 0 0 0 0 0 0 0
  142 33.25 0 0 0 0 0 0 0
  143 33.75 0 0 0 0 0 0 0
  144 34.25 0 0 0 0 0 0 0
  145 34.75 0 0 0 0 0 0 0
  146 35.25 0 0 0 0 0 0 0
  147 35.75 0 0 0 0 0 0 0
  148 36.25 0 0 0 0 0 0 0
  149 36.75 0 0 0 0 0 0 0
  150 37.25 0 0 0 0 0 0 0
20000 150 647.9999999999998
  1 -37.25 0 0 0 0 0 0 0
  2 -36.75 0 0 0 0 0 0 0
  3 -36.25 0 0 0 0 0 0 0
  4 -35.75 0 0 0 0 0 0 0
  5 -35.25 0 0 0 0 0 0 0
  6 -34.75 0 0 0 0 0 0 0
  7 -34.25 0 0 0 0 0 0 0
  8 -33.75 0 0 0 0 0 0 0
  9 -33.25 0 0 0 0 0 0 0
  10 -32.75 0 0 0 0 0 0 0
  11 -32.25 0 0 0 0 0 0 0
  12 -31.75 0 0 0 0 0 0 0
  13 -31.25 0 0 0 0 0 0 0
  14 -30.75 0 0 0 0 0 0 0
  15 -30.25 0 0 0 0 0 0 0
  16 -29.75 0 0 0 0 0 0 0
  17 -29.25 0 0 0 0 0 0 0
  18 -28.75 0 0 0 0 0 0 0
  19 -28.25 0 0 0 0 0 0 0
  20 -27.75 0 0 0 0 0 0 0
  21 -27.25 0 0 0 0 0 0 0
  22 -26.75 0 0 0 0 0 0 0
  23 -26.25 0 0 0 0 0 0 0
  24 -25.75 0 0 0 0 0 0 0
  25 -25.25 0 0 0 0 0 0 0
  26 -24.75 0 0 0 0 0 0 0
  27 -24.25 0 0 0 0 0 0 0
  28 -23.75 0 0 0 0 0 0 0
  29 -23.25 0 0 0 0 0 0 0
  30 -22.75 0 0 0 0 0 0 0
  31 -22.25 0 0 0 0 0 0 0
